Rating,Tanggal,Nama,Ulasan
5,2026-05-23T13:21:22.152Z,Lidya Tasya,"Senang sekali bisa menikmati makan siang bersama rekan2 bhayangkari kemarin, dengan ambience yang sangat nyaman, masakannya enak semua,ada yang asin sedikit tapi masih oke...????
Pelayanan nya ramah,cepat, tanggap.
Agak sedikit menyesal karena hanya sedikit memberikan tip sama mbak nya, badan nya berisi saya lupa menanyakan namanya mbak tersebut.. terima kasih mbak, semoga Pawon mbh Gito jaya selalu"
5,2026-05-22T13:08:06.937Z,ryant mamets,Makan siang untuk keluarga dengan vibe saung dan sawah itu top lah
3,2026-05-21T10:24:11.601Z,Anwar,"Makin mahal, sementara resto baru konsep sawah yg terjangkau makin banyak."
5,2026-05-20T04:31:25.232Z,Atika Hardeyanti,Dtg kesini kepagian heheh baru buka sudah nyampe jd bebas pilih tempat duduk. Suasana restonya sangat nyaman dan luas banyak bgt tempat duduk. Ada smoking area juga jd terpisah sm yg non smoking. Satu yg harus diperhatikan yaitu toiletnya. Shower hand nya terlalu pendek dan salah pemasangan sepertinya. Lebih baik disediakan ember/ pancuran air agar lebih memudahkan saat dipakai. Untuk makanan enak enak. Staffnya juga ramah ramah semua ??
5,2026-05-20T04:12:59.825Z,Edo Dwi Prayudi,Selama 4 hari di Jogja jujur disini pengalaman makan yg terbaik. Suasana nya asri dekat persawahan view nya khas pedesaan. Makanannya juga enak2 bgt terutama mie godok jawanya kuahnya enak bgt. Kalo ke Jogja psti kesini lagi sih
1,2026-05-19T10:04:58.017Z,Hangopo Ngopo,Makanan kurang enakk gak jelass banget rasanyaa sayaa suka pelayanan nyaa tapi tolong untukk yang nganterin minuman di kemuning jangann mas mas yangg di tengahh itu mas siapaa yaa badan e yang berisi agak hitam tolong jangan itu gaa jelas soalnya pelayanan nyaaa
5,2026-05-18T08:26:45.978Z,Alfananda Winditasari,Tempat makan keluarga yang syahdu. Dekat sawah. Ambil makanan sendiri
5,2026-05-18T04:13:16.785Z,Ade Indarta,"Buat alternatif kalau mau makan suasana Jawa tapi males ngantri panjang.
Tempatnya kesannya tidak terlalu luas. Di kelilingi sawah. Masakan Jawa tentunya. Prasmanan. Banyak sudut buat foto2 cantik. Kami datang pas jam 7 pagian. Masih sepi. Langsung masuk tidak antre. Parkir mobil juga luas. Makan ber 7 habis 380 ribu"
5,2026-05-18T01:37:24.771Z,anggi,"Menyempatkan makan siang di Pawon mbah gito, untungnya langsung dapat meja tapi harus nunggu makanan siap di sesi kedua sekitar jam setengah satu, nunggu setengah jam masih harus antri cukup lama buat ambil makanannya, makanan bervariasi dan cukup enak di lidahku ya apalagi ditambah mamnya sambil liat pemandangan persawahan. Cocok banget buat rombongan keluarga karena untuk anak-anak banyak yang bisa dilihat khususnya hewan2 yang dipelihara di resto. So far untuk harga, makanan dan experience yang didapatkan sih cukup worth it untuk dicoba."
5,2026-05-17T09:59:41.585Z,Saiful Bahri,"Cocok utk makan bersama keluarga dan anak-anak. Akses jalan cuma cukup utk Hi-Ace. Bus ndak bisa, masuk."
4,2026-05-17T06:14:28.256Z,Andhinta Karina,"Pilihan menunya banyak banget sampai bingung milihnya ?? utk makanan layaknya menu rumahan yg enak enak ????
Utk suasana tenang dgn sejauh mata memandang hamparan sawah yg buat mata seger liatnya??
Amaze nya sekarang lebih luas tempatnya, lebih teratur sih, gak perlu rebutan tempat karena begitu masuk sdh disambut staf utk ditanya jumlah org & kemudian diarahkan ke gazebo yg bisa ditempatin ????????"
5,2026-05-16T08:14:28.334Z,Aditya Rahman,"Makanan enak enak, pelayanan paripurna,

Di pesanan ada 1 menu yg basi dan saya laporkan ke petugas, petugasnya gercep langsung handle, diganti rugi, digratiskan pula untuk semua menu dalam 1 piring yang sama dengan menu yg basi tadi,

Yakin sustain sih kalo pelayanan nya kaya gini, josjos mbah gitooo!"
5,2026-05-16T08:07:52.534Z,Sadarsih Purnawati,Makan bikin kalap.
5,2026-05-16T03:35:30.447Z,Nuri Agustina,"Cita rasa masakan omahan Jowo yg mantab, cocok di lidah kami sekeluarga. Ada aneka jenang yg maknyuss (candil & sumsum). Harga sesuai. Pelayanan baik. Parkir luas."
5,2026-05-15T16:37:47.505Z,putrii setia,"Untuk makanan khas desa rekomen banget , puas makan disana , lauknya juga pedes banget
Cocok untuk keluarga yang bawa anak kecil luas ada ikan, merak
Puas deh ????????"
5,2026-05-15T13:18:56.661Z,Fatimah Prehatiningsih,"Rumah makan dengan nuansa pedesaan yang tenang dan nyaman,makanannya juga enak"
5,2026-05-15T12:55:43.260Z,Aulia Rachman (Aal),"tempat terbaik untuk ""rumah makan"" yang pernah saya coba sebelumnya, terutama makanan Jawa, enak sekali, dan rasanya enak, enak sekali saya dan keluarga saya dari minang kabau, suatu hari nanti saya akan berkunjung lagi"
5,2026-05-15T11:03:49.494Z,tambal ban panggilan mobil,"Menyajikan makanan khas bermacam macam,dengan suasana di perdarahan,sejuk pada pagi hari."
5,2026-05-15T04:09:17.476Z,rizta oktaviany,"pas kesini lumayan antri tapi worth it si menurut ku, enak semua menunyaa, pelayanannya ramah ????"
5,2026-05-15T00:43:02.505Z,raditya_dita,Warung makan yang menyajikan menu masakan rumahan. Vibenya makan di pedesaan yang nyaman...pokoknya cihuiy banget dah ....gaskeuuuun....
5,2026-05-14T16:17:45.274Z,Nuri Jogja,"Resto view sawah dgn menu rumahan Jawa yg wajib coba. Good taste, good ambiance, with affordable prices. Pasti datang lg. Seru banget Reuni & acara keluarga disini ?? Parkir luas, pelayanan sat set & ramah."
5,2026-05-14T14:26:53.619Z,Anditya Windra putratama,Tempatnya makin luas dan nyaman... mangstapp
2,2026-05-14T12:41:21.064Z,Tahani Chairunnisa,"Makan di tempat ini cukup menyenangkan dengan kondisi pinggir sawah, saya datang pada malam hari. Pilihan makanannya cukup banyak, namun yang membuat saya kecewa dengan restoran ini adalah pelayanannya kepada pelanggan. Kami datang sebanyak 8 orang, kami memilih duduk di sofa, namun sayang sofa tersebut hanya muat untuk 4 orang, kami berinisiatif meminta untuk menggabungkan dua meja. Namun selain itu kata pelayannya tidak diperbolehkan menggabungkan dua meja, namun respon dari pelayannya sangat KASAR. Mulai dari menjawab kita seolah-olah dia tidak menyukai kita. Menjawab dengan suara keras. Dan bagian yang asin harus menunggu sekitar 1 jam hingga 1,5 jam untuk Makanannya.. Kami bertanya kepada pelayan setelah 1,5 jam untuk makanannya dan kemudian mereka menjawab ""Baru di pesan"" kami kaget, dan kami bertanya lagi, jawabannya adalah ""Sedang di proses"".... Jawabannya, tidak Profesional.....
Tentang makanannya, dan menunggu setelah sekian lama Ya pasti tidak layak untuk makanan itu :( sebaiknya kamu cari resto lain yang menyambutmu dengan hangat dan baik hati. Tolong, di setiap restoran, utamakan pelayanan yang ramah! Karena itu bingkai kesan pertama Restoran tersebut.

Sekali saja dan tidak akan pernah lagi. Terima kasih ????"
5,2026-05-14T01:43:13.656Z,I Gede Agus Swanjaya,Salah 1 alternatif kopi klotok
5,2026-05-13T16:47:05.766Z,Galih Nurrizki,"Suasananya syahdu banget, cocok buat yang mau lunch sambil mensyahdukan pikiran, must try dia punya menu manyung lezatos banget"
5,2026-05-13T05:39:40.376Z,irma rizki,"Enak banget ambiencesnya, makanannya sedap-sedap, harga terjangkau. Cocok buat bawa orang tua,keluarga, dan anak-anak juga. Asri dan bikin healing menjadi sempurna ??"
5,2026-05-13T04:34:20.217Z,airul hidayat,nyaman enak
5,2026-05-12T23:02:49.484Z,Sumi Ahong,"Makananya homey,rasa enak,pelayanan cepat,suasana seperti rasa drmh"
5,2026-05-10T14:05:21.396Z,Inge Caninmon,"Makanan enak
Mangut manyung enak"
5,2026-05-10T12:58:01.758Z,Maidah Sayektiani,"Kesini malem2, seru juga, walupun makanan sudah ga lengkap, tapi telor dadar sayur lodeh ditambah kuah mangut lele mantap endul"
5,2026-05-09T10:52:55.637Z,mei Sholihah,"Pawon mbah gito sekarang makin luas, jd walaupun ramai jangan khwtr tidak kebagian temlat, hny saja mmg tempat parkir yang mgkn perlu di perhatiakan mengingat t4 nya yang masuk ke perkampungan...
Konsep nya ke rumah makan keluarga, tp sayang gak ada jalur utk.kursi roda... jd agak kesulitan klo mau ajak keluarga yg pakai kursi roda, semoga kedepannya di perhatikan lg ya agar ramah utk kursi roda..

Utk makanan variasi lauknya banyak, ada ikan, ayam , telur dan lainnya, sayur juga beraneka ragam dr oseng sampai yg berkuah... yg pengen makan masakan jawa bisa banget kesini..

Edit : 9 mei 2026,..
Udah setahun gak ke mbah gito... alhamdulillah skrg mbah gito sdh ada jalur utk kursi roda  dan juga t4 parkir yg luaaaas...
Semoga makin sukses ya ke depannya....
Karena makan di mbah gito makin nyaman, dan pelayanannya juga terbaik... pelayan ramah dan gercep... ??????"
4,2026-05-09T00:21:30.497Z,Micko Fadjar,"Tempat makan dengan hidangan masakan khas jawa.tempatnya terletak di tengah sawah dan lumayan rame juga,jadi waktu itu ngantri lumayan panjang karena model prasmanan gitu."
5,2026-05-08T17:45:31.140Z,HOMY COZY,"Makanannya enak, parkir luas, pelayanan top banget, rekomemded"
5,2026-05-08T10:10:35.910Z,afanfashya_,Mantap masakan nya Josjis
2,2026-05-08T06:28:23.458Z,sakysss,"Dari segi rasa makanan enak, suasana juga tenang, tapi ternyata tidak boleh bawa tumblr. Saya awalnya tidak dapat info kalau tidak boleh bawa tumblr (sementara pegawai disana pun tau dari awal kalau saya bawa tumblr) dan pada saat saya makan tiba tiba ada pegawai yang menginfokan kalau tidak boleh bawa tumblr (walaupun isinya air mineral), setelah itu tumblr saya diambil, dan setelah itu saya tidak ditawarkan apakah ingin memesan minum atau tidak.

Saran saya kalau ada peraturan seperti itu diinformasikan sejak awal (saat mengambil menu makan atau dengan staff bagian depan) atau di pasang tertulis peraturan tersebut, menurut saya kurang sopan kalau posisi sudah mulai makan dan tiba tiba tumblr diambil."
5,2026-05-08T06:26:54.509Z,Agus A. Zuhro,Mengantar ibu2 rt mengadakan acara diluar dengan suasana sawah.
4,2026-05-08T02:10:22.521Z,Usmantoro Ahmad,Suasana dan tempatnya asri. Minumannya oke.. untuk sayur yang pedas sebaiknya diberi tanda biar yang tidak suka pedas menghindarinya.
5,2026-05-07T07:25:09.020Z,kevin chan,"Semua nya ok ! Harga, makanan, suasana, semua TOP .. suka banget"
5,2026-05-06T15:33:12.760Z,Muhammad Fakhrurrozi Rizal Zulfi,tempatnya nyaman buat makan sama keluarga or temen. cocok yang bosen sama makanan modern.
5,2026-05-06T07:25:16.385Z,Dhedhe Yusuf,"Tempatnya asik syahdu cocok buat sarapan dengan pemandangan sawah, pilihan menunya bnyak dan enak2 dan yg terpenting tidak antri,"
5,2026-05-05T02:45:05.955Z,Urwaatunn Ghurroh77,"First time kesinii, nemenin cowoku dr jkt jalan² ke jogja. Awalnya mau ke kopi klothok tp kejauhan jd mending disinii dan yapp! Ga nyesel dinner disinii hehe. Crew²nya ramahh bgtt apalagi mas bagian depan, begitu masuk disapa ""SUGENG RAWUHH"" yg lain menyaut ""MONGGOOOOO..."" kompak bgtt!! Waktu itu di tgl 2mei2026, nomor meja 20, kalo ada yg inget aku make baju merah maroon??
Oiyaa boleh ngasih saran yaa, next mungkin kalo menyajikan minuman lebih di percepat yaa! Kemarin nasiku udah mau habis dan minumnya baru datang. Bisa lebih di perbaiki biar makin mantap pelayanannyaa???????? terimakasihh teman² crew yg sudah menyambut dg hangat sekaliii????????"
5,2026-05-05T02:40:48.447Z,Rut Mila Sari,"Tipe masakan rumahan tapi rasanya enak. Kalau kesini jangan lupa order pisang gorengnya. Rasanya manis, lembut, luarnya garing. Pokonya recommended banget..."
4,2026-05-04T07:19:50.226Z,Aditya,"Pelayanan cepat dan ramah, atsmosphere lumayan lah dgn meja kayu meski tidak cozy2 bgt. Rasa masakan lumayan, namun ragam harus diperbanyak. Kalau bisa ada cumi asin atau yg lebih pedas2. Andalannya sih ikan dimangut. Toilet bersih. Parkir lumayan gampang. Akses dari jalan kaliurang harus lewat jalan kecil tp tidak jauh hanya 100-200 meter saja. Pemandangan sawah dan kolam ikan, sayang tidak berkontur."
2,2026-05-03T16:51:18.480Z,Anggie Wibowo,"Entah apa yang istimewa. Rasa masakan juga biasa aja. Harga overpriced. Pesan nasi gurih porsinya mini harganya diatas 20rb. Tidak ada lauk daging""an, cuma telur suwir aja dan sedikit. Nasinya pun kepyur sekali terlalu kering. Condiments seperti kering tempenya cenderung asin. Yaudahlah yaa..."
4,2026-05-03T13:29:57.609Z,Faris Hisyam,"Minggu 3 MEi 2026 pertama kali kesini..
tempatnya memang masuk"" kampung, tapi komplex resto sangat luas...
menyediakan macam masakan jawa, banyak juga tempat duduk...
walau banyak tempat duduk tadi sempat waiting list, tergantung juga tingkat keramaian...
suasana ala"" pinggir sawah hijau...
dan ada juga beberapa hewan juga...
air di selokan juga bening..."
5,2026-05-02T15:50:52.411Z,Zainal Aini,Mantapp suasana persawahan
5,2026-05-02T11:15:21.504Z,Kusno Joko,Acara keluarga
4,2026-05-02T08:22:36.745Z,Herline Yuanita,"Lumayan oke lah, menu masakan rumahan jadi bisa utk melepas rindu"
5,2026-05-02T01:21:08.743Z,Imam Suharjo,"Kesini akhir April 2028 malam kesan makan di desa di tepi sawah.
Fasilitas mushola dan kamar mandi bersih terawat.
Menu makanan banyak dan lengkap. Bisa pilih menu atau prasmanan ambil sendiri. Minuman beragam mulai dari teh, kopi dan minuman lain
Parkir mobil 3rb, motor 2rb. Tempat agak masuk sktr 300 meter dari Jakal."
3,2026-05-01T16:25:14.406Z,Ardisa Wiratama,Harga lumayan overprice
5,2026-05-01T08:35:13.906Z,Redo Anya Rizkyansyah,"makanan nya beranekaragam, pilihat seat nya banyak, pemandangan nya oke.."
5,2026-05-01T02:55:07.498Z,Legal Jogja,Agak pricy hiks.. Tapi worthedddd
5,2026-04-29T22:57:41.614Z,Imam Candra,Bakalan balik lagi sih klo ke Jogja
5,2026-04-29T07:11:20.836Z,Nabila Amalia,"varian lauk dan sayurnya cukup banyak, pilihan nasinya pun ada putih & merah, rasanya medok & enak gitu

cobain wedang mbah utinya gaiss, rempahnya banyaak dan lumayan ngebantu ngeredain flu"
5,2026-04-28T12:42:34.852Z,Budi Sapto,"Dekat dengan persawahan, jadi udara relatif segar berangin.
Saya coba menu mangut lele kesukaan saya, dan cocok."
5,2026-04-28T00:29:47.450Z,Rizky Fatih,enak
5,2026-04-26T02:53:38.179Z,Fernando Haratua,Bakmi godognya juara
5,2026-04-23T23:40:57.495Z,Endah Ratnaningsih,"Tempatnya cukup luas, mudah dicari, dan musholanya bersih. Makanan dan minumannya enak sekali, mengingatkan masakan rumah apalagi pemandangannya sawah. Pelayanannya cepat dan karyawannya ramah. Sistem ordernya kita ditanyain mau meja mana dulu nanti dicarikan, terus ambil nasi sendiri, pilih lauk, dan ke kasir. Mendoannya enak sih, rekomended!"
3,2026-04-23T12:13:03.625Z,Sri Wahyuni,"Saya sering kesini KLO pagi KRNA emang enak smua menu prasmanan nya,tapi malem baru kali ini dan agak kecewa,,pesen bakmie Jawa,sama bakmie goreng tapi kq amis bangeet ya,mana ga ada ayam nya ,tapi soal pelayanan selalu best"
4,2026-04-23T09:40:28.704Z,Tutut Jogja,"Lauknya banyak.
Seperti masakan rumahan.
Tempatnya besar.
Suasana jawa"
5,2026-04-21T16:31:55.750Z,Pramono Dw,"Tempat nyaman, masakan variatif dan terjangkau"
5,2026-04-21T07:28:27.392Z,Ahmad Habibi Zaenal,Menunya banyak terus ramah banget pelayannya... klo sore abis prasmanan jadinya diarahin beli menu modern gitu lupa namanya. Dikasih buku menu terus ditulisin
5,2026-04-20T14:10:23.605Z,Ren Hikaru,"Serasa pulang ke rumah kalau kesini, makanan dan pelayanan top. Cocok utk makan ramai2 bareng keluarga, kids friendly, ada sungainya mengalir jernih dan ada mini zoo nya. Aestetik dan pengen lama2 di sini. Sukses terus Pawon Mba Gito ????"
5,2026-04-20T12:58:45.025Z,Budi,"Pokoknya enak deh, rasa masakan seperti masakan nenek, tempat luas tidak membosankan karena banyak hiburan untuk anak anak"
5,2026-04-20T12:57:45.219Z,Wati,"Pemandangan sejuk dan nyaman, ada berbagai aviary yang sangat menghibur anak anak"
5,2026-04-20T12:57:04.911Z,Hari,Makanan sedep rasanya seperti nostalgia
5,2026-04-20T04:07:40.827Z,JACX 2277,"Konsepnya prasmanan rumahan dengan pilihan menu yang banyak banget dan menggoda selera
Minumannya juga macam macam.
Lokasi tempat mkn ada yg khusus non smoking.
Di area dalam ada kolam ikan dengan beberapa unggas piaraan seperti angsa, merak dan burung lainnya yang lucu
Dijamin kl kesini ga kan cukup kl cm mkn ja pasti betah untuk nongkrong sambil ngeliatin sawah.
Untuk harga standar"
5,2026-04-19T16:42:02.678Z,m tira,Kuliner yang wajib di kunjungi kalau lagi di Jogja. Tempatnya syahdu..makanannya enak2
5,2026-04-19T14:22:08.114Z,Graha Purnama Ardiansyah,"Nikmatin sarapan pagi nasi kuning yang mantab, sambil ngopi liatin pemandangan sawah, kalau lagi cerah bisa liat gunung merapi. MasyaAllah, rekomen banget disini"
5,2026-04-19T14:19:09.460Z,Wasilah Grup,Tempat terbaik buat menikmati kuliner di yogyakarta. Bakmie sama pemandangannya joss
5,2026-04-19T14:12:06.670Z,Halimah Tulmawa,"Kuliner ndeso yang lengkap di Jogja, makanannya enak suasana nya syahdu. Ada mini zoo bikin anak happy"
5,2026-04-19T14:07:04.570Z,ANGGI KHADIA,"Salah satu tempat makan favorite di Jogja, tempatnya luas dan nyaman. Makanannya enak2, staf nya juga ramah dan helpfull sekali"
